field	2.spe
 335.034	 17720
 335.036	 17720
 335.038	 17720
 335.041	 17720
 335.043	 17710
 335.045	 17710
 335.048	 17695
 335.050	 17680
 335.052	 17695
 335.055	 17695
 335.057	 17695
 335.059	 17695
 335.062	 17695
 335.064	 17695
 335.066	 17695
 335.069	 17680
 335.071	 17670
 335.073	 17670
 335.076	 17680
 335.078	 17655
 335.080	 17655
 335.083	 17655
 335.085	 17655
 335.087	 17655
 335.090	 17655
 335.092	 17655
 335.095	 17640
 335.097	 17655
 335.099	 17630
 335.102	 17640
 335.104	 17630
 335.106	 17640
 335.109	 17630
 335.111	 17600
 335.113	 17615
 335.116	 17615
 335.118	 17615
 335.120	 17600
 335.123	 17590
 335.125	 17590
 335.127	 17575
 335.130	 17575
 335.132	 17560
 335.134	 17550
 335.137	 17550
 335.139	 17535
 335.141	 17535
 335.144	 17535
 335.146	 17510
 335.148	 17520
 335.151	 17520
 335.153	 17510
 335.155	 17520
 335.158	 17495
 335.160	 17495
 335.162	 17495
 335.165	 17480
 335.167	 17470
 335.170	 17470
 335.172	 17470
 335.174	 17470
 335.177	 17440
 335.179	 17430
 335.181	 17415
 335.184	 17400
 335.186	 17400
 335.188	 17375
 335.191	 17375
 335.193	 17360
 335.195	 17360
 335.198	 17350
 335.200	 17350
 335.202	 17350
 335.205	 17335
 335.207	 17335
 335.209	 17335
 335.212	 17320
 335.214	 17295
 335.216	 17280
 335.219	 17280
 335.221	 17270
 335.223	 17240
 335.226	 17240
 335.228	 17240
 335.230	 17230
 335.233	 17215
 335.235	 17200
 335.238	 17200
 335.240	 17200
 335.242	 17175
 335.245	 17175
 335.247	 17175
 335.249	 17175
 335.252	 17160
 335.254	 17150
 335.256	 17150
 335.259	 17135
 335.261	 17135
 335.263	 17135
 335.266	 17120
 335.268	 17120
 335.270	 17110
 335.273	 17110
 335.275	 17095
 335.277	 17095
 335.280	 17080
 335.282	 17080
 335.284	 17070
 335.287	 17055
 335.289	 17030
 335.291	 17030
 335.294	 17030
 335.296	 17015
 335.298	 17015
 335.301	 17000
 335.303	 17000
 335.305	 16990
 335.308	 16975
 335.310	 16975
 335.313	 16975
 335.315	 16960
 335.317	 16960
 335.320	 16935
 335.322	 16935
 335.324	 16920
 335.327	 16920
 335.329	 16910
 335.331	 16910
 335.334	 16920
 335.336	 16920
 335.338	 16895
 335.341	 16895
 335.343	 16880
 335.345	 16870
 335.348	 16880
 335.350	 16840
 335.352	 16840
 335.355	 16840
 335.357	 16830
 335.359	 16815
 335.362	 16815
 335.364	 16815
 335.366	 16815
 335.369	 16790
 335.371	 16775
 335.373	 16775
 335.376	 16775
 335.378	 16760
 335.381	 16760
 335.383	 16760
 335.385	 16760
 335.388	 16750
 335.390	 16750
 335.392	 16760
 335.395	 16750
 335.397	 16750
 335.399	 16735
 335.402	 16720
 335.404	 16720
 335.406	 16735
 335.409	 16710
 335.411	 16720
 335.413	 16710
 335.416	 16710
 335.418	 16710
 335.420	 16695
 335.423	 16710
 335.425	 16695
 335.427	 16695
 335.430	 16710
 335.432	 16695
 335.434	 16670
 335.437	 16695
 335.439	 16670
 335.441	 16680
 335.444	 16680
 335.446	 16695
 335.449	 16695
 335.451	 16680
 335.453	 16680
 335.456	 16655
 335.458	 16655
 335.460	 16680
 335.463	 16680
 335.465	 16680
 335.467	 16695
